MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        63.00,        61.30,        62.90,        61.30,        62.70,                   698800.00,11200, ,        96.00,        46.00
N,SM,AARADHYA,AARADHYA DISPOSAL INDUS L,       100.75,        97.00,       110.80,        97.00,       110.80,                 41959320.00,398400, ,       182.00,        64.20
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        18.25,        18.25,        18.25,        18.25,        18.25,                    36500.00,2000, ,        25.50,        16.70
N,ST,ABH,ABH HEALTHCARE LIMITED,        84.90,        80.70,        80.70,        80.70,        80.70,                 11136600.00,138000, ,        99.00,        80.70
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        23.95,        24.00,        24.75,        23.10,        24.60,                   570560.00,24000, ,        48.80,        23.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        21.25,        22.25,        22.25,        22.25,        22.25,                   200250.00,9000, ,        47.50,        17.15
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       307.15,       314.80,       344.00,       312.00,       337.90,                114435100.00,343500, ,       344.00,       143.05
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       607.40,       612.00,       619.00,       608.70,       617.80,                 34771325.00,56500, ,       621.00,       238.00
N,ST,ACCORD,ACCORD SYNERGY LIMITED,       198.35,       188.45,       188.45,       188.45,       188.45,                   376900.00,2000, ,       211.00,        19.85
N,ST,ACCPL,ACCRETION PHARMA LIMITED,       202.00,       202.00,       202.00,       200.00,       200.00,                  2660400.00,13200, ,       214.70,        53.80
N,SM,ACETEC,ACETECH E-COMMERCE LTD,       139.00,       139.00,       139.00,       139.00,       139.00,                   166800.00,1200, ,       164.00,       111.80
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,        43.00,        43.00,        44.75,        43.00,        43.30,                   369500.00,8500, ,       152.05,        37.15
N,SM,ADISOFT,ADISOFT TECHNOLOGIES LTD,       200.00,       199.00,       208.00,       199.00,       206.25,                 10136560.00,49600, ,       280.00,       170.00
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        25.80,        24.55,        24.55,        24.55,        24.55,                    49100.00,2000, ,        40.65,        17.35
N,SM,AERON,AERON COMPOSITE LIMITED,        78.80,        78.80,        83.00,        78.80,        83.00,                  2039450.00,25000, ,       124.00,        70.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        70.00,        69.00,        69.90,        68.70,        69.80,                   415850.00,6000, ,       155.60,        59.60
